01-AC-000044,ST. AGNES SCHOOL (E/HS),AGC,0,0,0,NUEVA SEGOVIA,0
01-AC-000071,VIGAN ADVENTIST MULTIGRADE SCHOOL,AGC,Capangpangan,"Vigan, Ilocos Sur",SDA NL,0,0
01-AD-000047,ST. MARY'S OF THE SEA ACADEMY,AGC,Centro,"Sto. Tomas, La Union",0,LA UNION,0
01-AC-000078,OUR LADY OF GUADALUPE ACADEMY,AGC,0,0,0,0,0
01-AD-000050,ARINGAY SCHOOL OF SCI. ARTS TECH.&TRADE,AGC,"Raisaville Subd., San Eugenio,","Aringay, La Union",0,0,0
01-OD-000021,ST. LOUIS HIGH SCH. OF BALATOC,AGC,"Virac,","Itogon, Benguet",0,BAGUIO,0
01-AB-000037,DONA FRANCISCA SMART KIDS MONT. SCH.,AGC,"#13 San Gabriel Nat'L Rd.,","Bacarra, Ilocos Norte",0,0,0
01-OD-000032,PHILIPPINES ASIA BIBLE COLLEGE FDT. INC.,AGC,"Jd-087-1 Bayabas Pico,","La Trinidad, Benguet",0,0,0
01-OA-000013,DIOCESAN SCHOOL OFFICE (A),AGC,Parish House,"Bangued, Abra",0,0,0
01-OD-000011,HOLY CROSS LEARNING CENTER - BENGUET,AGC,Lepanto,"Mankayan, Benguet",0,0,0
01-AC-000073,ANASTROPHE CHRISTIAN SCHOOL,AGC,0,0,0,0,0
01-AE-000025,ST. MARY'S SEMINARY (HS),AGC,"38-A Mangato St.,",Laoag City,0,0,0
01-AB-000033,ST. JOSEPH EDUCATIONAL CTR. OF DINGRAS,AGC,0,"Dingras, Ilocos Norte",0,0,0
01-OD-000037,THE MONTESSORI ACADEMY,AGC,0,0,0,0,0
01-AB-000030,ST. GABRIEL CATHOLIC SCHOOL,AGC,"Poblacion,","Nueva Era, Ilocos Norte",0,LAOAG,0
01-OC-000028,JESUS MIRACLE CRUSADE CHRISTIAN ACAD.,AGC,"448 Naguillan Rd., Purok 18,","Irisan, Baguio City",0,0,0
01-AD-000053,STELLA MARIS ACADEMY (HS),AGC,"Quirino,","Bacnotan, La Union",0,LA UNION,0
01-AC-000005,CALVARY BAPTIST ACADEMY OF VIGAN,AGC,"#66 Bonifacio St.,","Vigan City, Ilocos Sur",0,0,0
01-OC-000072,YALE IL INTERNATIONAL SCHOOL,AGC,"Isg Poliwes,","Kennon Rd., Baguio City",0,0,0
01-AD-000012,DIOCESAN SEMINARY OF HEART OF JESUS,AGC,"San Vicente Road,","San Fernando City, La Union",0,LA UNION,0
01-AD-000033,ST. NICHOLAS ACADEMY (K) -BALAOAN,AGC,"Manila North Road, Brgy Dr Camilo Osias","Balaoan, La Union",0,0,0
01-OG-000006,BONTOC FUNDAMENTAL BAPTIST ACADEMY,AGC,0,0,0,0,0
01-AC-000030,PATER NOSTER LEARNING CENTER (VEC),AGC,(Vigan-Edu-Cultural Lrng. Ctr.),"Crisologo St.,Vigan, Ilocos Sur",0,0,0
