01-AB-000036,ST. NICOLAS ACADEMY-ILOCOS NORTE,,AGC,,"Vintar, Ilocos Norte", , ,
01-AC-000038,SANTIAGO CATHOLIC SCHOOL (HS),,AGC,,"Santiago, Ilocos Sur", ,Nueva Segovia,
01-AC-000034,SAN JOSE HIGH SCHOOL (HS),,AGC,,, ,Nueva Segovia,
01-AD-000093,SAN ALBERTO MAGNO ACADEMY (E),,AGC,Poblacion,"Tubao, La Union", ,LA UNION,
01-OD-000013,LITTLE FLOWER CHILDREN'S HOME,,AGC,"Km 4,","La Trinidad, Benguet", ,Bangued,
01-OA-000046,BASIC CLUES CREATIVE LEARNING CENTER,,AGC,"2nd Flr VP Skyview Bldg.,","Magallanes St., Zone 5, Bangued, Abra",,,
01-AD-000047,ST. MARY'S OF THE SEA ACADEMY,,AGC,Centro,"Sto. Tomas, La Union", ,LA UNION,
01-AD-000053,STELLA MARIS ACADEMY (HS),,AGC,"Quirino,","Bacnotan, La Union", ,LA UNION,
01-AC-000010,GREAT HEIGHTS LEARNING CENTER,,AGC,"Ground Flr. Marinella Comm'l Complex,","Govantes Dike, Zone V,Bantay, Ilocos Sur", , ,
01-AE-000024,ST. JOSEPH HIGH SCHOOL (E/HS),,AGC,"Brgy. 28, Diego Silang St.,",Laoag City, ,Laoag,
01-OD-000023,ST. LOUIS HIGH SCH. OF SABLAN,,AGC,,"Poblacion, Sablan, Benguet", ,BAGUIO,
01-AB-000018,ST. ELIZABETH ELEM. SCHOOL,,AGC,,"Badoc, Ilocos Norte", ,Laoag,
01-AC-000059,STA. LUCIA CATHOLIC SCHOOL,,AGC,"Burgos,","Sta. Lucia, Ilocos Sur 2712",OSS,Nueva Segovia,
01-AD-000077,UNION SCHOOL OF NAGUILIAN (E/HS),,AGC,,"Naguilian, La Union", , ,
01-OA-000034,SACRED HEART SCHOOL-BANGUED,,AGC,Zone 6,"Bangued, Abra", , ,
01-OD-000016,SACRED HEART HIGH SCHOOL,,AGC,Poblacion,"Itogon, Benguet", ,BAGUIO,
01-AB-000023/01-AB-000024,STA. ROSA ACADEMY (E/HS),,AGC,"Brgy 3, San Ildefonso","San Nicolas, Ilocos Norte", ,Laoag,
01-AC-000048,ST. CECILIA LEARNING CENTER,,AGC,"Brgy. San Nicolas,","Candon City, Ilocos Sur", , ,
01-AC-000044,ST. AGNES SCHOOL (E/HS),,AGC,,, ,Nueva Segovia,
01-OD-000012,IMM. CONCEPCION SCHOOL OF BENGUET,,AGC,Poblacion,"Bokod, Benguet", ,BAGUIO,
01-OA-000006,AVE MARIA SCHOOL,,AGC,"Partelo St.,","Bangued, Abra", , ,
01-AD-000002,AGOO CHRISTIAN LEARNING CENTER,,AGC,"#29 San Antonio,","Agoo, La Union", , ,
01-AC-000043,SHEPHERD KIDDIE SCHOOL,,AGC,"Brgy. San Jose,","Candon City, Ilocos Sur", , ,
01-AB-000032,OUR SAVIOR'S KINDERGARTEN-PASUQUIN,,AGC,,"Brgy. 4, Pasuquin, Ilocos Norte", , ,
01-AE-000025,ST. MARY'S SEMINARY (HS),,AGC,"38-A Mangato St.,",Laoag City, , ,
01-AC-000061,THE NEW MAKIL TECHNICAL SCHOOL,,AGC,"Poblacion,","Galimuyod, Ilocos Sur", , ,
01-AD-000052,STA. CATALINA ACADEMY,,AGC,Valdez St.,"Victoria, Luna, La Union", ,LA UNION,
01-OC-000077,PHILIPPINE BELL INTERNATIONAL SCHOOL,,AGC,Near Pink Sister Convent,Baguio City, , ,
01-AE-000020,PADRE ANNIBALE SCHOOL,,AGC,"Madre Nazarena Domus,","Along Vintar Rd., Laoag City",FDZ,Laoag,
01-OD-000019,SHEKINAH EDUCATIONAL CENTER,,AGC,"JB 132 Km. 4 Central Pico,","La Trinidad, Benguet", , ,
01-AB-000035,THE RIVERDEEP ACADEMY,,AGC,"Brgy. 28 Cabusligan,","Bacarra, Ilocos Norte", , ,
01-OD-000015,"RAINBOW MISSION INTERNATIONAL ACAD., INC.",,AGC,"AE-13-2 Western Buyagan,","La Trinidad, Benguet", , ,
01-AC-000018,IMM. CONCEPCION MINOR SEM. HS,,AGC,"Ayusan Sur,","Vigan City, Ilocos Sur", , ,
01-OD-000032,PHILIPPINES ASIA BIBLE COLLEGE FDT. INC.,,AGC,"JD-087-1 Bayabas Pico,","La Trinidad, Benguet", , ,
01-OA-000013,DIOCESAN SCHOOL OFFICE (A),,AGC,Parish House,"Bangued, Abra", , ,
01-AC-000071,VIGAN ADVENTIST MULTIGRADE SCHOOL,,AGC,Capangpangan,"Vigan, Ilocos Sur",SDA NL, ,
01-AD-000050,ARINGAY SCHOOL OF SCI. ARTS TECH.&TRADE,,AGC,"Raisaville Subd., San Eugenio,","Aringay, La Union", , ,
