01-AC-000064,UCCP KIDDIE LEARNING CENTER-CABUGAO,NL,AGC,"UCCP Church,","Cabugao, Ilocos Sur", , ,
01-OA-000022,HOLY INFANT LEARNING CENTER,NL,AGC,"Zone 7,","Bangued, Abra", , ,
01-AB-000022,ST. JUDE HIGH SCHOOL,NL,AGC,,"Pagudpud, Ilocos Norte", ,Laoag,
01-AC-000011,HOLY ANGEL LEARNING CENTER,NL,AGC,,"Candon, Ilocos Sur", , ,
01-AC-000025,MAGSINGAL INSTITUTE,NL,AGC,,"Magsingal, Ilocos Sur", , ,
01-AC-000060,TAGUDIN ADVENTIST MULTIGRADE SCHOOL,NL,AGC,,"Tagudin, Ilocos Sur",SDA NL, ,
01-AC-000065,UCCP KINDERGARTEN LRNG. CTR.-SINAIT,NL,AGC,,"Sinait, Ilocos Sur", , ,
01-AC-000067,UNITED METHODIST SCHOOL-CANDON,NL,AGC,,"Candon, Ilocos Sur", , ,
01-AD-000001,AGOO ACADEMY (HS),NL,AGC,,"Agoo, La Union", , ,
01-AD-000029,ROSARIO CENTRAL SCHOOL,NL,AGC,,"Rosario, La Union", , ,
01-AD-000034,SAYTAN ELEMENTARY SCHOOL,NL,AGC,,"Pugo, La Union", , ,
01-OA-000037,ST. JOSEPH'S SEMINARY (HS),NL,AGC,,"Bangued, Abra", , ,
01-OC-000016,BRIDGES TUTORIAL'S LEARNING CENTER,NL,AGC,,"#81 Laurel St., Baguio City", , ,
01-OC-000069,VALLEY KIDDIE LANGUAGE CENTER,NL,AGC,,Baguio City, , ,
01-OD-000029,VALLEY KIDDIE LEARNING CENTER,NL,AGC,,"La Trinidad, Benguet", , ,
01-CG-000037,DON BOSCO ACADEMY (E/HS),NL,CRU,"Green Meadow Subd., Mabiga,","Mabalacat, Pampanga",SDB,,
01-NA-000182,MYSTICAL ROSE SCHOOL OF KALOOKAN,NL,CRU,"Metrocom Homes, Almar Subd.,","Camarin, Kalookan City", , ,
01-NA-000087,GUARDIAN ANGEL SCHOOL,NL,CRU,"P. Samson Road,","Deparo, Kalookan City", , ,
01-CB-000039/01-CB-000040,JOSE RIZAL INSTITUTE (E/HS),NL,CRU,"San Vicente,","Orion, Bataan", , ,
01-CB-000009,BATAAN MONTESSORI SCHOOL,NL,CRU,"Maluya cor A. Banzon St.,","Central, Balanga City, Bataan", , ,
01-NA-000091,HOLY ANGEL SCHOOL OF CALOOCAN,NL,CRU," B-1 L-23-26 Hillcrest Village,","Camarin Rd., Kalookan City", , ,
01-CG-000009,ASSUMPTA TECHNICAL HIGH SCHOOL,NL,CRU,"Sta. Monica,","San Simon, Pampanga",RA,,
01-CB-000085/01-CB-000086,T. DEL ROSARIO COLLEGE (E/HS),NL,CRU,"Capitol Drive,","Balanga, Bataan", , ,
01-NA-000202,OUR LORD'S ANGEL SCHOOL,NL,CRU,"1117 Bagumbong Dulo St.,","Bagumbong, Kalookan City", , ,
01-NA-000097,HOLY INFANT MONTESSORI SCHOOL,NL,CRU,"#4 Ninang Helen, BF Homes, Ph. I & II","Novaliches, Kalookan City", , ,
01-CA-000012,BRIGHTWOOD SCHOOL,NL,CRU,"Don Angeles St., Angeles City Center,","Pandan, Angeles City", , ,
01-CG-000098,MARY HELP OF CHRISTIAN SCHOOL,NL,CRU,Mabiga,"Mabalacat, Pampanga",FMA - Christians, ,
01-CB-000005,BATAAN CHRISTIAN SCHOOL - PILAR,NL,CRU,"Pilar Shopping Arcade,","Pilar, Bataan", , ,
01-CA-000007,ANGELES SPED CENTER,NL,CRU,"Jesus Street,","Pulong-Bulo, Angeles City", , ,
01-CG-000008,ASIAN MONTESSORI CENTER,NL,CRU,"San Agustin, (near Jonafer Mall)","San Fernando City, Pampanga", , ,
01-CG-000080,JOSE FELICIANO COLLEGE,NL,CRU,"Dau,","Mabalacat, Pampanga", , ,
01-CB-000077,ST. NICHOLAS CATHOLIC SCHOOL,NL,CRU,Poblasyon,"Mariveles, Bataan", ,BATAAN,
01-CG-000158,ST. MARY'S ANGEL SCHOOL OF PAMPANGA,NL,CRU,"San Pedro, Mexico Boundary &","Sta. Ana, Pampanga", , ,
01-CI-000049,STA. CRUZ ACADEMY (HS),NL,CRU,sta cruz,Zambales, ,IBA,
01-CG-000179,SURE VALUES LEARNING SCHOOL,NL,CRU,"2nd Floor Fiesta Market. Bldg.,","V. Tiomico St.,San Fernando, Pampanga", , ,
01-CB-000052,MOTHER MARGHERITA DE BRINCAT CATH. SCH.,NL,CRU,"Kamias Rd., Brgy. Tucop,","Dinalupihan, Bataan",Franciscan sisters of Heart of Jesus, ,
01-CB-000048,LLAMAS MEMORIAL INSTITUTE (HS),NL,CRU,"Lacandula St.,","Mariveles, Bataan", , ,
01-NA-000279,SYSTEM PLUS COMPUTER COLL.-E/H,NL,CRU,"141-143 10th Ave.,","6 & 7 St., Kalookan City", , ,
01-CB-000016,BLESSED REGINA PROTMANN,NL,CRU,"Mt. View,","Mariveles, Bataan", ,BATAAN,
01-NA-000248,ST. ANTHONY NOVA SCHOOL (E/HS),NL,CRU,Amparo Subdivision,"Novaliches, Kaloocan City", , ,
01-NA-000074,GOLDEN LINK SCHOOL,NL,CRU,"Waling-Waling cor Dona Aurora St.,","Brgy. 177, Camarin, Kalookan City", , ,
01-CB-000034/01-CB-000033,HOLY ROSARY PAROCHIAL INST.(E/H),NL,CRU,oblsyon,"Orani, Bataan", ,BATAAN,
01-CI-000009,FIRST CHILD LEARNING CENTER,NL,CRU,"7931 A & B Manila Ave.,","Sabcum, Subic Bay, Zambales", , ,
01-CG-000029,CHRISTIAN VISION ACADEMY,NL,CRU,sta lucia resettlement,"Magalang, Pamp.", , ,
01-CI-000040,ST. ANTHONY ACADEMY,NL,CRU,"Matain,","Subic, Zambales", ,IBA,
01-CB-000088/01-CB-000089,THE PENINSULA SCHOOL (E/HS),NL,CRU,"Alangan,","Limay, Bataan", , ,
01-CG-000187,DAU CENTRAL ELEM. SPED,NL,CRU,,"Dau, Mabalacat, Pampanga", , ,
01-CA-000066,ROYAL INTERNATIONAL SCHOOL,NL,CRU,"Lot 9-10 Blk 3-13, Ramon Dizon St.,","Diamond Subd., Balibago, Angeles City", , ,
01-CB-000037,JESUS SAVES LEARNING FOUNDATION,NL,CRU,"Mabuco,","Hermosa, Bataan", , ,
01-CB-000080,ST. PETER OF VERONA SCHOOL,NL,CRU,Poblasyon,"Hermosa, Bataan",SFIC,BATAAN,
01-NA-000253,ST. DOMINIC SAVIO COLL.-PANGARAP,NL,CRU,"Blk 1 Lot 6, Mt. Heights Subd.,","Quirino H-way,Pangarap,Kalookan City", , ,
01-CA-000051,LIVING STONE INTERNATIONAL SCHOOL,NL,CRU,"43-B Marlim Blvd.cor Debra St.,","Pulung Marugal, Angeles City", , ,
01-CB-000008,BATAAN LEARNING SCHOOL,NL,CRU,"Kaparangan,","Orani, Bataan", , ,
